,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,centreScorePeriod4,centreScorePeriod5,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,opponentScorePeriod4,opponentScorePeriod5,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,BEREA(~1,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-W,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
25,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,25,07:28,"GOOD FT by TIPPITT,KELSEY",4 (+1),,3,,BEREA(~1 4-3 (+1),,"GOOD FT by TIPPITT,KELSEY",1,free throw,good,berea,kelsey tippitt,1,448
26,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,26,07:28,"SUB IN by ROGERS,ERICA",,,,,,,"SUB IN by ROGERS,ERICA",1,subbing in,,berea,erica rogers,,448
27,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,27,07:28,"SUB OUT by BARNARD,KILEY",,,,,,,"SUB OUT by BARNARD,KILEY",1,subbing out,,berea,kiley barnard,,448
28,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,28,07:28,,,,,"SUB IN by ANDREASSEN,CAROLINE",,,"SUB IN by ANDREASSEN,CAROLINE",1,subbing in,,Centre,caroline andreassen,,448
29,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,29,07:28,,,,,"SUB IN by SCHAD,OLIVIA",,,"SUB IN by SCHAD,OLIVIA",1,subbing in,,Centre,olivia schad,,448
30,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,30,07:28,,,,,"SUB OUT by MOORE,KATIE",,,"SUB OUT by MOORE,KATIE",1,subbing out,,Centre,katie moore,,448
31,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,31,07:28,,,,,"SUB OUT by RHULE,BONNIE",,,"SUB OUT by RHULE,BONNIE",1,subbing out,,Centre,bonnie rhule,,448
32,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,32,07:10,,4,,6 (+2),"GOOD 3PTR by ANDREASSEN,CAROLINE",CENTRE-W 4-6 (-2),,"GOOD 3PTR by ANDREASSEN,CAROLINE",1,three pointer,good,Centre,caroline andreassen,3,430
33,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,33,--,,,,,"ASSIST  by MCKNIGHT,KAITLYN",,,"ASSIST  by MCKNIGHT,KAITLYN",1,assist,,Centre,kaitlyn mcknight,,
34,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,34,06:51,"GOOD 3PTR by WILLIAMS,BETHANIE",7 (+1),,6,,BEREA(~1 7-6 (+1),,"GOOD 3PTR by WILLIAMS,BETHANIE",1,three pointer,good,berea,bethanie williams,3,411
35,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,35,--,"ASSIST  by WILLIAMS,ADRIANA",,,,,,,"ASSIST  by WILLIAMS,ADRIANA",1,assist,,berea,adriana williams,,
36,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,36,06:21,"FOUL  by TIPPITT,KELSEY",,,,,,,"FOUL  by TIPPITT,KELSEY",1,foul,,berea,kelsey tippitt,,381
37,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,37,06:21,"SUB IN by LOVELESS,ANNA",,,,,,,"SUB IN by LOVELESS,ANNA",1,subbing in,,berea,anna loveless,,381
38,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,38,06:21,"SUB OUT by TIPPITT,KELSEY",,,,,,,"SUB OUT by TIPPITT,KELSEY",1,subbing out,,berea,kelsey tippitt,,381
39,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,39,06:19,,,,,"TURNOVER  by ANDREASSEN,CAROLINE",,,"TURNOVER  by ANDREASSEN,CAROLINE",1,turnover,,Centre,caroline andreassen,,379
40,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,40,06:09,"MISS 3PTR by WILLIAMS,BETHANIE",,,,,,,"MISS 3PTR by WILLIAMS,BETHANIE",1,three pointer,missed,berea,bethanie williams,,369
41,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,41,--,,,,,"REBOUND DEF by JUDY,MICHELE",,,"REBOUND DEF by JUDY,MICHELE",1,defensive rebound,,Centre,michele judy,,
42,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,42,06:00,,,,,"MISS LAYUP by GUY,ALEXIS",,,"MISS LAYUP by GUY,ALEXIS",1,layup,missed,Centre,alexis guy,,360
43,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,43,06:00,"BLOCK  by LOVELESS,ANNA",,,,,,,"BLOCK  by LOVELESS,ANNA",1,block,,berea,anna loveless,,360
44,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,44,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,Centre,,,
45,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,45,05:58,,,,,"SUB IN by RICE,MADISON",,,"SUB IN by RICE,MADISON",1,subbing in,,Centre,madison rice,,358
46,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,46,05:58,,,,,"SUB IN by STEWART,ABIGAIL",,,"SUB IN by STEWART,ABIGAIL",1,subbing in,,Centre,abigail stewart,,358
47,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,47,05:58,,,,,"SUB OUT by JUDY,MICHELE",,,"SUB OUT by JUDY,MICHELE",1,subbing out,,Centre,michele judy,,358
48,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,48,05:58,,,,,"SUB OUT by MCKNIGHT,KAITLYN",,,"SUB OUT by MCKNIGHT,KAITLYN",1,subbing out,,Centre,kaitlyn mcknight,,358
49,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,49,05:50,,,,,"MISS 3PTR by ANDREASSEN,CAROLINE",,,"MISS 3PTR by ANDREASSEN,CAROLINE",1,three pointer,missed,Centre,caroline andreassen,,350
50,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,50,--,"REBOUND DEF by WILLIAMS,ADRIANA",,,,,,,"REBOUND DEF by WILLIAMS,ADRIANA",1,defensive rebound,,berea,adriana williams,,
51,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,51,05:43,"TURNOVER  by WILLIAMS,ADRIANA",,,,,,,"TURNOVER  by WILLIAMS,ADRIANA",1,turnover,,berea,adriana williams,,343
52,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,52,05:16,,7,,8 (+1),"GOOD JUMPER by GUY,ALEXIS",CENTRE-W 7-8 (-1),,"GOOD JUMPER by GUY,ALEXIS",1,jumper,good,Centre,alexis guy,2,316
53,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,53,05:03,"MISS LAYUP by SMALL,ZACCHEA",,,,,,,"MISS LAYUP by SMALL,ZACCHEA",1,layup,missed,berea,zacchea small,,303
54,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,54,05:03,,,,,"BLOCK  by STEWART,ABIGAIL",,,"BLOCK  by STEWART,ABIGAIL",1,block,,Centre,abigail stewart,,303
55,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,55,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
56,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,56,04:46,,,,,"MISS JUMPER by GUY,ALEXIS",,,"MISS JUMPER by GUY,ALEXIS",1,jumper,missed,Centre,alexis guy,,286
57,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,57,--,"REBOUND DEF by LOVELESS,ANNA",,,,,,,"REBOUND DEF by LOVELESS,ANNA",1,defensive rebound,,berea,anna loveless,,
58,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,58,04:28,"MISS JUMPER by LOVELESS,ANNA",,,,,,,"MISS JUMPER by LOVELESS,ANNA",1,jumper,missed,berea,anna loveless,,268
59,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,59,--,,,,,"REBOUND DEF by STEWART,ABIGAIL",,,"REBOUND DEF by STEWART,ABIGAIL",1,defensive rebound,,Centre,abigail stewart,,
60,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,60,04:25,"FOUL  by SMALL,ZACCHEA",,,,,,,"FOUL  by SMALL,ZACCHEA",1,foul,,berea,zacchea small,,265
61,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,61,04:25,"SUB IN by ROBERTS,JAIME",,,,,,,"SUB IN by ROBERTS,JAIME",1,subbing in,,berea,jaime roberts,,265
62,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,62,04:25,"SUB OUT by SMALL,ZACCHEA",,,,,,,"SUB OUT by SMALL,ZACCHEA",1,subbing out,,berea,zacchea small,,265
63,7,berea,Berea,Centre,52-61,52,61,"13, 12, 16, 11, 52","16, 15, 12, 18, 61",13,12,16,11,52,16,15,12,18,61,1-6,3-4,12/02/15,Lose,248,No Location Recorded,8:30 PM,H,63,04:25,,,,,"SUB IN by MOORE,KATIE",,,"SUB IN by MOORE,KATIE",1,subbing in,,Centre,katie moore,,265
