,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,SUWB14,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
34,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,34,16:16,,,,,"SUB IN by SLITER,DEE DEE",,,"SUB IN by SLITER,DEE DEE",1,subbing in,,spalding,dee dee sliter,,976
35,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,35,16:16,,,,,"SUB OUT by RIGGS,KAYLA",,,"SUB OUT by RIGGS,KAYLA",1,subbing out,,spalding,kayla riggs,,976
36,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,36,16:10,"MISS 3PTR by COLLIVER,OLIVIA",,,,,,,"MISS 3PTR by COLLIVER,OLIVIA",1,three pointer,missed,Centre,olivia colliver,,970
37,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,37,16:10,,,,,"BLOCK  by STYLES,KAYLA",,,"BLOCK  by STYLES,KAYLA",1,block,,spalding,kayla styles,,970
38,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,38,--,,,,,"REBOUND DEF by HARDIN,MAYA",,,"REBOUND DEF by HARDIN,MAYA",1,defensive rebound,,spalding,maya hardin,,
39,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,39,15:51,,,,,"MISS 3PTR by STYLES,KAYLA",,,"MISS 3PTR by STYLES,KAYLA",1,three pointer,missed,spalding,kayla styles,,951
40,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,40,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,Centre,,,
41,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,41,15:45,,,,,"SUB IN by MARTIN,MADDIE",,,"SUB IN by MARTIN,MADDIE",1,subbing in,,spalding,maddie martin,,945
42,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,42,15:45,,,,,"SUB IN by HUNTER,BRANDY",,,"SUB IN by HUNTER,BRANDY",1,subbing in,,spalding,brandy hunter,,945
43,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,43,15:45,,,,,"SUB IN by RIGGS,KAYLA",,,"SUB IN by RIGGS,KAYLA",1,subbing in,,spalding,kayla riggs,,945
44,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,44,15:45,,,,,"SUB OUT by ASH,KALLIE",,,"SUB OUT by ASH,KALLIE",1,subbing out,,spalding,kallie ash,,945
45,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,45,15:44,"GOOD LAYUP by JUDY,MICHELE(in the paint)",9 (+3),,6,,CENTRE_W 9-6 (+3),,"GOOD LAYUP by JUDY,MICHELE(in the paint)",1,layup,good,Centre,michele judy,2,944
46,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,46,--,"ASSIST  by HARTLAGE,MAGGIE",,,,,,,"ASSIST  by HARTLAGE,MAGGIE",1,assist,,Centre,maggie hartlage,,
47,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,47,15:33,,,,,"MISS JUMPER by HARDIN,MAYA",,,"MISS JUMPER by HARDIN,MAYA",1,jumper,missed,spalding,maya hardin,,933
48,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,48,--,,,,,"REBOUND OFF by STYLES,KAYLA",,,"REBOUND OFF by STYLES,KAYLA",1,offensive rebound,,spalding,kayla styles,,
49,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,49,15:30,"FOUL  by MCKNIGHT,KAITLYN",,,,,,,"FOUL  by MCKNIGHT,KAITLYN",1,foul,,Centre,kaitlyn mcknight,,930
50,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,50,15:30,,9 (+2),,7,"GOOD FT by STYLES,KAYLA",SUWB14 9-7 (+2),,"GOOD FT by STYLES,KAYLA",1,free throw,good,spalding,kayla styles,1,930
51,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,51,15:30,,,,,"MISS FT by STYLES,KAYLA",,,"MISS FT by STYLES,KAYLA",1,free throw,missed,spalding,kayla styles,,930
52,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,52,--,"REBOUND DEF by MCKNIGHT,KAITLYN",,,,,,,"REBOUND DEF by MCKNIGHT,KAITLYN",1,defensive rebound,,Centre,kaitlyn mcknight,,
53,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,53,15:30,"SUB IN by GUY,ALEXIS",,,,,,,"SUB IN by GUY,ALEXIS",1,subbing in,,Centre,alexis guy,,930
54,4,spalding,CENTRE,Spalding,52-48,52,48,"27, 25, 52","25, 23, 48",27,25,52,25,23,48,2-2,2-2,11/25/14,Win,310,No Location Recorded,7:00 p.m.,A,54,15:30,"SUB OUT by HARTLAGE,MAGGIE",,,,,,,"SUB OUT by HARTLAGE,MAGGIE",1,subbing out,,Centre,maggie hartlage,,930
